example_id,text,label
EX-0293,How long does it take to process a refund,billing_refund
EX-0042,passwrod reset link is not working,password_reset
EX-1443,The dropdown menu is not showing any options thanks,technical_bug
EX-0085,Can someone help me recover my account password,password_reset
EX-0540,I paid for fast shipping and it is still not here Let me know!!,shipping_delay
EX-1395,The dropdown menu is not showing any options,technical_bug
EX-0149,My temporary password is not being accepted,password_reset
EX-0850,Please unlock my account,account_locked
EX-0455,Can you resend my order since shipping is taking so long,shipping_delay
EX-0348,I was charged full price but had a coupon,billing_refund
EX-0981,"Hi there, I need to cancel before the next billing cycle",cancel_subscription
EX-0309,You charged me after I cancelled my subscription,billing_refund
EX-0755,"Hello, My accoutn was locked due to suspicious activity asap",account_locked
EX-0987,I submitted a cancellation but I was still charged,cancel_subscription
EX-0880,Hey How do I unlock my account after too many tries Let me know,account_locked
EX-0775,"Hi there, I need help getting back into my locked account.",account_locked
EX-1450,The form resets when I click submit,technical_bug
EX-1277,I want to pay with a different card,update_payment
EX-0640,My shipment has been in the same location for a week,shipping_delay
EX-1435,Auto save is not workign and I lost my changes,technical_bug
EX-0224,"Good morning, you charged me after I cancelled my subscription",billing_refund
EX-0768,My account got locked and I cannot do anything,account_locked
EX-1121,Can I set a different default payment method thanks,update_payment
EX-0420,Quick quesiton: Please help me request a refund for an accidental charge Thanks in advance,billing_refund
EX-1082,I want to cancel my monthly plan,cancel_subscription
EX-1174,Can I update my payment to use PayPal instead Thanks!!,update_payment
EX-0745,How do I unlock my account after too many tries,account_locked
EX-0031,How do I reset my account password,password_reset
EX-0459,The estimated delivery date has passed,shipping_delay
EX-1245,"Good morning, Where can I change my stored payment infomation",update_payment
EX-1175,"Hi, The system is not accepting my new card number",update_payment
EX-0804,Why is my accoutn showing a security lock,account_locked
EX-1155,Please help me add a backup payment method,update_payment
EX-1392,Urgent - The mobile app freezes when I scroll through my feed,technical_bug
EX-0423,I see an unknown charge on my statement,billing_refund
EX-0467,Hey My package was marked delivered but I never received it Thanks in advance,shipping_delay
EX-1504,I found a bug on the checkout page Let me know,technical_bug
EX-0720,My account got locked and I cannot do anything Please advise,account_locked
EX-0738,My account got locked and I cannot do anything,account_locked
EX-0656,My shipment has been in the same location for a week,shipping_delay
EX-1191,My card was compromised and I need to replace it,update_payment
EX-1081,I submitted a cancellation but I was still charged,cancel_subscription
EX-0223,Billing error I need a refund,billing_refund
EX-1427,The form resets when I click submit,technical_bug
EX-0966,Can I cancel and get a prorated refund,cancel_subscription
EX-0049,Password reset link is not working,password_reset
EX-0391,Hey You chaged me after I cancelled my subscription,billing_refund
EX-0107,I forgot my password and cannot log in,password_reset
EX-0387,Quick question: Can I get a refund for a duplicate payment thanks,billing_refund
EX-1287,I want to switch from credit card to debit card,update_payment
EX-1137,Where can I change my stored payment information,update_payment
EX-1234,Please help me add a backup payment method,update_payment
EX-0700,Need help - My account got locked and I cannot do anything,account_locked
EX-1217,Can I update my payement to use PayPal instead,update_payment
EX-0995,Need help - I want to downgrade and eventually cancel my plan,cancel_subscription
EX-0607,The acrrier says they cannot find my package,shipping_delay
EX-1285,I need to remove my old card and add a new one,update_payment
EX-0129,How do I reset my accoutn password,password_reset
EX-0274,Billing error I need a refund,billing_refund
EX-0819,The account lockout is preventing me from working,account_locked
EX-0681,Please remove the lock from my profile,account_locked
EX-0927,Please stop renewing my subscription Let me know,cancel_subscription
EX-0491,"Hello, The delievery status says exception what does that mean",shipping_delay
EX-0333,Sorry to bother you but How do I dispute a charge on my account,billing_refund
EX-1348,My data is not syncing between desktop and mobile?,technical_bug
EX-0203,I changed my passwrod but it still does not work,password_reset
EX-1466,"Hello, Auto save is not working and I lost my changes",technical_bug
EX-1010,I want to downgrade and eventually cancel my plan,cancel_subscription
EX-0541,"Hello, I need to change my delivery address for a delayed order",shipping_delay
EX-0844,Why is my account showing a security lock,account_locked
EX-1096,Quick question: I want to cancel my monthly plan,cancel_subscription
EX-1185,My bank issued a replacement card I need to update,update_payment
EX-0741,How long will my accoutn stay locked,account_locked
EX-1452,I get an error message when I try to save my profile Any help appreciated,technical_bug
EX-0016,Urgent - Please send me a password recovery link,password_reset
EX-1123,Please help me add a backup payment method,update_payment
EX-1140,I need to update my card on file,update_payment
EX-0122,I need to update my password for security reasons,password_reset
EX-0430,"Hi there, Can I get a refund for a duplicate payment",billing_refund
EX-1512,Need help - Feature is not working as expected,technical_bug
EX-0213,I tried resetting but the page gives an error,password_reset
EX-1236,Can I set a different default payement method.,update_payment
EX-0302,"Good morning, Please help me request a refund for an accidental charge",billing_refund
EX-1243,Sorry to bother you but My bank issued a replacement card I need to update,update_payment
EX-1459,The app crashes when I open settings,technical_bug
EX-0494,My order still has not arrived,shipping_delay
EX-0715,Why is my accoutn showing a security lock,account_locked
EX-0425,Need help - Billing error I need a refund,billing_refund
EX-1397,Sorry to bother you but Videos dont play they just show a black screen,technical_bug
EX-0040,I keep getting invalid password error,password_reset
EX-0689,I verified my identity but my account is still locked,account_locked
EX-1197,Please help me add a backup payment method,update_payment
EX-1005,Can I cancel and get a prorated refund Please advise,cancel_subscription
EX-0034,Password reset keeps timing out,password_reset
EX-0128,"Good morning, Password reset keeps timing out Thanks in advance",password_reset
EX-0118,My temporary password is not being accepted,password_reset
EX-0217,I want to set up a stronger password,password_reset
EX-0884,The cancel button is not showing on my account page,cancel_subscription
EX-1145,The card on my account has expired,update_payment
EX-0144,Need help - I cannot remember my login credentials,password_reset
EX-0581,My package was marked delivered but I never received it,shipping_delay
